"","genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2183","AT5G22740",840.06904109681,0.52796765611567,0.163435110484507,3.23044206688819,0.00123598949969653,0.00641036305536991
"2184","AT3G56990",541.132384477846,0.527073526802788,0.151428924177605,3.48066612547946,0.000500168543162553,0.00298257127963167
"2185","AT4G36970",336.620499722765,0.526993413396508,0.109036748633082,4.83317248545154,1.34374264554888e-06,1.78554086493246e-05
"2186","AT4G25670",1571.56230989271,0.526082174430674,0.129921664108143,4.04922595505534,5.1387312491064e-05,0.000422872505211552
"2187","AT3G23920",3277.9441606606,0.52607697815836,0.156118182966444,3.36973546682537,0.000752403765480668,0.00420646615299597
"2188","AT1G74410",451.330217989625,0.525667948337313,0.132532715826757,3.96632593739686,7.29890344300808e-05,0.000575592409041252
"2189","AT3G01800",267.504382697984,0.525543936492602,0.164695588288263,3.19100190815527,0.00141780343861192,0.00714169760433106
"2190","AT2G24120",3186.12182290135,0.524830044916782,0.0950567385107287,5.52122924833516,3.36636227627991e-08,6.54654182965115e-07
"2191","AT5G18310",347.495748994623,0.524014734977332,0.168888380957124,3.10272815694978,0.00191745682082372,0.00917570186059555
"2192","AT4G16830",4461.13030693932,0.523702195472203,0.0943252759085422,5.55208760777954,2.82278055275012e-08,5.58365763885565e-07
"2193","AT3G05690",871.998058962511,0.523464277028876,0.13296916835806,3.93673423315161,8.25979957025433e-05,0.000641659752637214
"2194","AT3G51670",1787.07377727286,0.523412278431927,0.073435291731266,7.12753045698159,1.02185667213927e-12,4.4628686278738e-11
"2195","AT5G62570",1196.0789368203,0.522825016015439,0.081933474342133,6.3810917358668,1.75829934101824e-10,5.30043630397182e-09
